accuracy	f1score	precision	negativepredvalue	recall	specificity
0.7	0.7073	0.725	0.675	0.6905	0.7105
0.6812	0.6832	0.6875	0.675	0.679	0.6835
0.6562	0.6584	0.6883	0.6265	0.631	0.6842
0.7188	0.7273	0.6667	0.7857	0.8	0.6471
0.7688	0.7758	0.7529	0.7867	0.8	0.7375
0.6875	0.7059	0.7229	0.6494	0.6897	0.6849
0.675	0.679	0.6471	0.7067	0.7143	0.6386
0.7125	0.7125	0.7037	0.7215	0.7215	0.7037
0.7125	0.7051	0.6962	0.7284	0.7143	0.7108
0.65	0.6627	0.625	0.6806	0.7051	0.5976
0.6938	0.703	0.6591	0.7361	0.7532	0.6386
0.65	0.6364	0.6203	0.679	0.6533	0.6471
0.7188	0.7429	0.7386	0.6944	0.7471	0.6849
0.6875	0.6575	0.6316	0.7381	0.6857	0.6889
0.6875	0.6988	0.6667	0.7123	0.7342	0.642
0.7375	0.7273	0.7179	0.7561	0.7368	0.7381
0.7188	0.7134	0.7368	0.7024	0.6914	0.7468
0.7062	0.6803	0.6579	0.75	0.7042	0.7079
0.6938	0.7263	0.7386	0.6389	0.7143	0.6667
0.6875	0.6753	0.7429	0.6444	0.619	0.7632
0.675	0.6905	0.6517	0.7042	0.7342	0.6173
0.6438	0.6545	0.6207	0.6712	0.6923	0.5976
0.675	0.679	0.6395	0.7162	0.7237	0.631
0.6875	0.6875	0.7143	0.6627	0.6627	0.7143
0.6875	0.6835	0.6506	0.7273	0.72	0.6588
0.6812	0.6667	0.75	0.6304	0.6	0.7733
0.6875	0.6835	0.675	0.7	0.6923	0.6829
0.725	0.7349	0.7011	0.7534	0.7722	0.679
0.6938	0.6711	0.6173	0.7722	0.7353	0.663
0.7312	0.7226	0.7	0.7625	0.7467	0.7176
0.7375	0.7083	0.6711	0.7976	0.75	0.7283
0.75	0.7619	0.6957	0.8235	0.8421	0.6667
0.6438	0.6743	0.6344	0.6567	0.7195	0.5641
0.7625	0.7738	0.7738	0.75	0.7738	0.75
0.6562	0.6541	0.6047	0.7162	0.7123	0.6092
0.675	0.6486	0.6761	0.6742	0.6234	0.7229
0.6688	0.6971	0.7262	0.6053	0.6703	0.6667
0.6938	0.6525	0.6667	0.7143	0.6389	0.7386
0.7562	0.7665	0.7273	0.7917	0.8101	0.7037
0.75	0.7701	0.7363	0.7681	0.8072	0.6883
0.6438	0.6816	0.6932	0.5833	0.6703	0.6087
0.7125	0.7089	0.6667	0.7632	0.7568	0.6744
0.7062	0.6928	0.6386	0.7792	0.7571	0.6667
0.7062	0.6928	0.7465	0.6742	0.6463	0.7692
0.7312	0.7261	0.6867	0.7792	0.7703	0.6977
0.6875	0.6835	0.6923	0.6829	0.675	0.7
0.7625	0.8061	0.798	0.7049	0.8144	0.6825
0.6875	0.7423	0.72	0.6333	0.766	0.5758
0.7	0.7209	0.7126	0.6849	0.7294	0.6667
0.75	0.75	0.7143	0.7895	0.7895	0.7143
0.675	0.6533	0.6447	0.7024	0.6622	0.686
0.7188	0.7368	0.7778	0.6582	0.7	0.7429
