accuracy	f1score	precision	negativepredvalue	recall	specificity
0.9125	0.9186	0.8977	0.9306	0.9405	0.8816
0.925	0.925	0.9367	0.9136	0.9136	0.9367
0.9062	0.9112	0.9059	0.9067	0.9167	0.8947
0.925	0.9178	0.9437	0.9101	0.8933	0.9529
0.925	0.9259	0.9146	0.9359	0.9375	0.9125
0.9062	0.9123	0.9286	0.8816	0.8966	0.9178
0.8875	0.8846	0.8734	0.9012	0.8961	0.8795
0.9312	0.9317	0.9146	0.9487	0.9494	0.9136
0.9	0.8974	0.8861	0.9136	0.9091	0.8916
0.9	0.8961	0.9079	0.8929	0.8846	0.9146
0.925	0.9231	0.9114	0.9383	0.9351	0.9157
0.875	0.8718	0.8395	0.9114	0.9067	0.8471
0.9	0.9091	0.8989	0.9014	0.9195	0.8767
0.8812	0.869	0.84	0.9176	0.9	0.8667
0.875	0.875	0.8642	0.8861	0.8861	0.8642
0.9062	0.9045	0.8765	0.9367	0.9342	0.881
0.9	0.8987	0.9221	0.8795	0.8765	0.9241
0.8562	0.8435	0.8158	0.8929	0.8732	0.8427
0.9562	0.9605	0.9884	0.9189	0.9341	0.9855
0.8688	0.8757	0.8706	0.8667	0.881	0.8553
0.8875	0.8889	0.8675	0.9091	0.9114	0.8642
0.875	0.8734	0.8625	0.8875	0.8846	0.8659
0.9312	0.9272	0.9333	0.9294	0.9211	0.9405
0.9	0.9036	0.9036	0.8961	0.9036	0.8961
0.9375	0.9351	0.9114	0.963	0.96	0.9176
0.9125	0.9176	0.9176	0.9067	0.9176	0.9067
0.9125	0.9091	0.9211	0.9048	0.8974	0.9268
0.8812	0.8889	0.8261	0.9559	0.962	0.8025
0.85	0.8235	0.8235	0.8696	0.8235	0.8696
0.9188	0.915	0.8974	0.939	0.9333	0.9059
0.9062	0.8921	0.8732	0.9326	0.9118	0.9022
0.9	0.8961	0.8846	0.9146	0.9079	0.8929
0.8938	0.8982	0.8824	0.9067	0.9146	0.8718
0.925	0.9294	0.9186	0.9324	0.9405	0.9079
0.8938	0.8828	0.8889	0.8977	0.8767	0.908
0.8938	0.8844	0.9286	0.8667	0.8442	0.9398
0.8938	0.904	0.9302	0.8514	0.8791	0.913
0.8625	0.8493	0.8378	0.8837	0.8611	0.8636
0.9312	0.9299	0.9359	0.9268	0.9241	0.9383
0.925	0.9294	0.908	0.9452	0.9518	0.8961
0.8625	0.8736	0.9157	0.8052	0.8352	0.8986
0.9188	0.9128	0.9067	0.9294	0.9189	0.9186
0.8625	0.8472	0.8243	0.8953	0.8714	0.8556
0.9125	0.9157	0.9048	0.9211	0.9268	0.8974
0.8875	0.88	0.8684	0.9048	0.8919	0.8837
0.9125	0.9125	0.9125	0.9125	0.9125	0.9125
0.9188	0.9347	0.9118	0.931	0.9588	0.8571
0.9188	0.9312	0.9263	0.9077	0.9362	0.8939
0.9375	0.9405	0.9518	0.9221	0.9294	0.9467
0.9	0.8987	0.8659	0.9359	0.9342	0.869
0.8938	0.8874	0.8701	0.9157	0.9054	0.8837
0.8688	0.8772	0.9259	0.8101	0.8333	0.9143
