accuracy	f1score	precision	negativepredvalue	recall	specificity
0.85	0.85	0.8947	0.8095	0.8095	0.8947
0.8562	0.8392	0.9677	0.7857	0.7407	0.9747
0.9125	0.9125	0.9605	0.869	0.869	0.9605
0.8562	0.8271	0.9483	0.8039	0.7333	0.9647
0.85	0.8378	0.9118	0.8043	0.775	0.925
0.8812	0.8834	0.9474	0.8214	0.8276	0.9452
0.8375	0.8169	0.8923	0.8	0.7532	0.9157
0.8938	0.8874	0.9306	0.8636	0.8481	0.9383
0.8312	0.8085	0.8906	0.7917	0.7403	0.9157
0.85	0.831	0.9219	0.8021	0.7564	0.939
0.9	0.8919	0.9296	0.8764	0.8571	0.9398
0.825	0.8	0.8615	0.8	0.7467	0.8941
0.8375	0.8415	0.8961	0.7831	0.7931	0.8904
0.8438	0.8062	0.8814	0.8218	0.7429	0.9222
0.8562	0.8414	0.9242	0.8085	0.7722	0.9383
0.825	0.8028	0.8636	0.7979	0.75	0.8929
0.8875	0.8816	0.9437	0.8427	0.8272	0.9494
0.8562	0.8244	0.9	0.83	0.7606	0.9326
0.875	0.878	0.9863	0.7816	0.7912	0.9855
0.8	0.7922	0.8714	0.7444	0.7262	0.8816
0.8438	0.8344	0.875	0.8182	0.7975	0.8889
0.825	0.8028	0.8906	0.7812	0.7308	0.9146
0.8688	0.8467	0.9508	0.8182	0.7632	0.9643
0.8812	0.8805	0.9211	0.8452	0.8434	0.9221
0.8562	0.8345	0.9062	0.8229	0.7733	0.9294
0.8125	0.8026	0.9104	0.7419	0.7176	0.92
0.875	0.8592	0.9531	0.8229	0.7821	0.9634
0.8375	0.8289	0.863	0.8161	0.7975	0.8765
0.8688	0.8372	0.8852	0.8586	0.7941	0.9239
0.9	0.8873	0.9403	0.871	0.84	0.9529
0.875	0.8462	0.8871	0.8673	0.8088	0.9239
0.9125	0.9028	0.9559	0.8804	0.8553	0.9643
0.8562	0.8497	0.9155	0.809	0.7927	0.9231
0.875	0.8718	0.9444	0.8182	0.8095	0.9474
0.875	0.8551	0.9077	0.8526	0.8082	0.931
0.8625	0.8382	0.9661	0.802	0.7403	0.9759
0.8562	0.8606	0.9595	0.7674	0.7802	0.9565
0.825	0.791	0.8548	0.8061	0.7361	0.8977
0.8875	0.8767	0.9552	0.8387	0.8101	0.963
0.8562	0.8516	0.9167	0.8068	0.7952	0.9221
0.8125	0.8171	0.9178	0.7241	0.7363	0.913
0.8375	0.803	0.9138	0.7941	0.7162	0.9419
0.8688	0.8421	0.8889	0.8557	0.8	0.9222
0.9	0.8987	0.9342	0.869	0.8659	0.9359
0.8562	0.8345	0.8923	0.8316	0.7838	0.9186
0.8875	0.88	0.9429	0.8444	0.825	0.95
0.8625	0.8791	0.9412	0.7733	0.8247	0.9206
0.8688	0.8814	0.9398	0.7922	0.8298	0.9242
0.8688	0.8627	0.9706	0.7935	0.7765	0.9733
0.8688	0.8552	0.8986	0.8462	0.8158	0.9167
0.8688	0.8511	0.8955	0.8495	0.8108	0.9186
0.8938	0.8982	0.974	0.8193	0.8333	0.9714
