accuracy	f1score	precision	negativepredvalue	recall	specificity
0.8438	0.8603	0.8105	0.8923	0.9167	0.7632
0.8625	0.8675	0.8471	0.88	0.8889	0.8354
0.8875	0.8953	0.875	0.9028	0.9167	0.8553
0.8562	0.8535	0.8171	0.8974	0.8933	0.8235
0.8375	0.8523	0.7812	0.9219	0.9375	0.7375
0.8312	0.8541	0.8061	0.871	0.908	0.7397
0.8188	0.8343	0.7449	0.9355	0.9481	0.6988
0.8375	0.8415	0.8118	0.8667	0.8734	0.8025
0.8312	0.8421	0.766	0.9242	0.9351	0.7349
0.8688	0.8743	0.8202	0.9296	0.9359	0.8049
0.8438	0.8521	0.7826	0.9265	0.9351	0.759
0.8188	0.8284	0.7447	0.9242	0.9333	0.7176
0.875	0.8913	0.8454	0.9206	0.9425	0.7945
0.8438	0.8322	0.7848	0.9012	0.8857	0.8111
0.825	0.8353	0.7802	0.8841	0.8987	0.7531
0.8438	0.8466	0.7931	0.9041	0.9079	0.7857
0.8625	0.8736	0.8172	0.9254	0.9383	0.7848
0.8375	0.8395	0.7473	0.9565	0.9577	0.7416
0.8562	0.8783	0.8469	0.871	0.9121	0.7826
0.825	0.8444	0.7917	0.875	0.9048	0.7368
0.8	0.814	0.7527	0.8657	0.8861	0.716
0.775	0.7907	0.7234	0.8485	0.8718	0.6829
0.9	0.9	0.8571	0.9474	0.9474	0.8571
0.9	0.908	0.8681	0.942	0.9518	0.8442
0.8062	0.8	0.775	0.8375	0.8267	0.7882
0.8438	0.8588	0.8261	0.8676	0.8941	0.7867
0.8688	0.8727	0.8276	0.9178	0.9231	0.8171
0.8438	0.8538	0.7935	0.9118	0.9241	0.7654
0.8188	0.8129	0.7241	0.9315	0.9265	0.7391
0.8812	0.8774	0.85	0.9125	0.9067	0.8588
0.85	0.84	0.7683	0.9359	0.9265	0.7935
0.8562	0.8623	0.7912	0.942	0.9474	0.7738
0.8438	0.8588	0.8	0.9077	0.9268	0.7564
0.85	0.8652	0.8191	0.8939	0.9167	0.7763
0.8625	0.8642	0.7865	0.9577	0.9589	0.7816
0.8938	0.8931	0.8659	0.9231	0.9221	0.8675
0.8875	0.9022	0.8925	0.8806	0.9121	0.8551
0.8438	0.8428	0.7701	0.9315	0.9306	0.7727
0.8812	0.882	0.8659	0.8974	0.8987	0.8642
0.8375	0.8602	0.7767	0.9474	0.9639	0.7013
0.85	0.875	0.8317	0.8814	0.9231	0.7536
0.8438	0.8466	0.7753	0.9296	0.9324	0.7674
0.8375	0.8354	0.75	0.9444	0.9429	0.7556
0.8375	0.8415	0.8415	0.8333	0.8415	0.8333
0.8312	0.8323	0.7701	0.9041	0.9054	0.7674
0.9062	0.9112	0.8652	0.9577	0.9625	0.85
0.8875	0.9135	0.8559	0.9592	0.9794	0.746
0.8438	0.8731	0.835	0.8596	0.9149	0.7424
0.8062	0.8208	0.8068	0.8056	0.8353	0.7733
0.8125	0.8256	0.7396	0.9219	0.9342	0.7024
0.7938	0.7975	0.7303	0.8732	0.8784	0.7209
0.9	0.9121	0.9022	0.8971	0.9222	0.8714
